"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","now_cost","position_index","fpl_to_min"
"111","Sergio Agüero","Centre-Forward","1988-06-02T00:00:00Z",29,"Argentina","Manchester City","Premier League","2017/2018",2017,"Sergio","Agüero",21,6,169,1960,12,570.8,966.4,1484,22,740,302.5,13,0,2,10.7,115,"5",8.62244897959184
"112","Gabriel Fernando de Jesus","Centre-Forward","1997-04-03T00:00:00Z",20,"Brazil","Manchester City","Premier League","2017/2018",2017,"Gabriel Fernando","de Jesus",13,7,126,1660,12,360.3,603.6,1089,18,473,204.9,9,0,6,17.1,104,"5",7.59036144578313
"113","Lukas Nmecha","Centre-Forward","1998-12-14T00:00:00Z",18,"Germany","Manchester City","Premier League","2017/2018",2017,"Lukas","Nmecha",0,0,2,14,0,3.1,0,0,0,4,0.3,0,0,0,0.1,45,"5",14.2857142857143
"114","Hugo Lloris","Goalkeeper","1986-12-26T00:00:00Z",30,"France","Tottenham Hotspur","Premier League","2017/2018",2017,"Hugo","Lloris",0,0,144,3240,35,0.1,726.4,0,6,694,72.3,15,0,1,9.3,55,"1",4.44444444444444
"115","Michel Vorm","Goalkeeper","1983-10-20T00:00:00Z",33,"Netherlands","Tottenham Hotspur","Premier League","2017/2018",2017,"Michel","Vorm",0,0,3,90,1,0,19,0,0,17,1.9,0,0,0,0.1,48,"1",3.33333333333333
"116","Paulo Gazzaniga","Goalkeeper","1992-01-02T00:00:00Z",25,"Argentina","Tottenham Hotspur","Premier League","2017/2018",2017,"Paulo","Gazzaniga",0,0,9,90,0,0,27.4,0,2,26,2.7,1,0,0,0.1,42,"1",10
"117","Alfie Whiteman","Goalkeeper","1998-10-02T00:00:00Z",18,"England","Tottenham Hotspur","Premier League","2017/2018",2017,"Alfie","Whiteman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,"1",NA
"118","Toby Alderweireld","Centre-Back","1989-03-02T00:00:00Z",28,"Belgium","Tottenham Hotspur","Premier League","2017/2018",2017,"Toby","Alderweireld",0,0,43,1177,13,67.8,249.2,50,3,247,36.8,5,0,3,5,58,"2",3.65335598980459
"119","Jan Vertonghen","Centre-Back","1987-04-24T00:00:00Z",30,"Belgium","Tottenham Hotspur","Premier League","2017/2018",2017,"Jan","Vertonghen",0,1,138,3203,31,205.7,774.4,243,13,778,122.7,16,0,4,10.1,61,"2",4.30846081798314
"120","Davinson Sánchez","Centre-Back","1996-06-12T00:00:00Z",21,"Colombia","Tottenham Hotspur","Premier League","2017/2018",2017,"Davinson","Sánchez",0,0,107,2532,21,74.8,598,89,8,597,76.2,13,1,1,1.2,60,"2",4.2259083728278
"121","Kevin Wimmer","Centre-Back","1992-11-15T00:00:00Z",24,"Austria","Tottenham Hotspur","Premier League","2017/2018",2017,"Kevin","Wimmer",0,0,19,1321,32,38.8,297,28,1,196,36.5,1,0,5,0.3,40,"2",1.43830431491294
"122","Cameron Carter-Vickers","Centre-Back","1997-12-31T00:00:00Z",19,"United States","Tottenham Hotspur","Premier League","2017/2018",2017,"Cameron","Carter-Vickers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"2",NA
"123","Juan Foyth","Centre-Back","1998-01-12T00:00:00Z",19,"Argentina","Tottenham Hotspur","Premier League","2017/2018",2017,"Juan","Foyth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"2",NA
"124","Danny Rose","Left-Back","1990-07-02T00:00:00Z",26,"England","Tottenham Hotspur","Premier League","2017/2018",2017,"Danny","Rose",0,2,24,800,14,181.6,159.4,117,0,136,45.9,2,0,4,0.3,64,"2",3
"125","Ben Davies","Left-Back","1993-04-24T00:00:00Z",24,"Wales","Tottenham Hotspur","Premier League","2017/2018",2017,"Ben","Davies",2,7,143,2323,20,698.8,610,201,14,615,151,12,0,3,21.9,58,"2",6.15583297460181
"126","Serge Aurier","Right-Back","1992-12-24T00:00:00Z",24,"Cote d'Ivoire","Tottenham Hotspur","Premier League","2017/2018",2017,"Serge","Aurier",2,2,77,1427,13,236.5,367.2,209,9,335,81.4,6,1,1,0.7,59,"2",5.39593552908199
"127","Kieran Trippier","Right-Back","1990-09-19T00:00:00Z",26,"England","Tottenham Hotspur","Premier League","2017/2018",2017,"Kieran","Trippier",0,7,113,1912,21,617.5,459,78,18,539,115.6,9,0,1,4.8,52,"2",5.91004184100418
"128","Kyle Walker-Peters","Right-Back","1997-04-13T00:00:00Z",20,"England","Tottenham Hotspur","Premier League","2017/2018",2017,"Kyle","Walker-Peters",0,2,13,188,4,48.3,70.4,10,0,73,12.9,1,0,0,0.9,40,"2",6.91489361702128
"129","Victor Wanyama","Defensive Midfield","1991-06-25T00:00:00Z",26,"Kenya","Tottenham Hotspur","Premier League","2017/2018",2017,"Victor","Wanyama",1,0,32,837,11,96.8,206,77,1,174,37.8,2,0,2,0.3,48,"3",3.8231780167264
"130","Eric Dier","Defensive Midfield","1994-01-15T00:00:00Z",23,"England","Tottenham Hotspur","Premier League","2017/2018",2017,"Eric","Dier",0,2,85,2822,30,293.4,604.2,289,2,477,118.6,15,0,4,2.4,47,"3",3.01204819277108
"131","Moussa Sissoko","Central Midfield","1989-08-16T00:00:00Z",27,"France","Tottenham Hotspur","Premier League","2017/2018",2017,"Moussa","Sissoko",1,1,58,1385,18,384.7,245.8,281,0,246,91.1,7,0,3,0.4,53,"3",4.18772563176895
"132","Mousa Dembélé","Central Midfield","1987-07-16T00:00:00Z",29,"Belgium","Tottenham Hotspur","Premier League","2017/2018",2017,"Mousa","Dembélé",0,0,52,1875,22,303.1,309.2,73,3,358,68.5,7,0,6,1.7,49,"3",2.77333333333333
"133","Harry Winks","Central Midfield","1996-02-02T00:00:00Z",21,"England","Tottenham Hotspur","Premier League","2017/2018",2017,"Harry","Winks",0,1,31,768,9,172.2,144.4,14,0,167,33.1,4,0,0,0.1,48,"3",4.03645833333333
"134","Tashan Oakley-Boothe","Central Midfield","2000-02-14T00:00:00Z",17,"England","Tottenham Hotspur","Premier League","2017/2018",2017,"Tashan","Oakley-Boothe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"3",NA
"135","Christian Eriksen","Attacking Midfield","1992-02-14T00:00:00Z",25,"Denmark","Tottenham Hotspur","Premier League","2017/2018",2017,"Christian","Eriksen",11,10,199,3218,33,1487,1072.6,1021,23,826,358.2,17,0,0,19.4,97,"3",6.18396519577377
"136","Erik Lamela","Right Winger","1992-03-04T00:00:00Z",25,"Argentina","Tottenham Hotspur","Premier League","2017/2018",2017,"Erik","Lamela",2,4,55,826,12,283.1,204.8,364,1,186,84.7,4,0,4,0.1,63,"4",6.65859564164649
"137","Harry Kane","Centre-Forward","1993-07-28T00:00:00Z",23,"England","Tottenham Hotspur","Premier League","2017/2018",2017,"Harry","Kane",29,2,217,3074,34,502.1,1214.4,2355,31,781,407.4,15,0,5,37.7,131,"5",7.05920624593364
"138","Vincent Janssen","Centre-Forward","1994-06-15T00:00:00Z",23,"Netherlands","Tottenham Hotspur","Premier League","2017/2018",2017,"Vincent","Janssen",0,0,1,1,0,0,0,0,0,2,0,0,0,0,0.1,74,"5",100
"139","Fernando Llorente","Centre-Forward","1985-02-26T00:00:00Z",32,"Spain","Tottenham Hotspur","Premier League","2017/2018",2017,"Fernando","Llorente",1,0,22,224,2,66.7,60.2,99,2,70,22.6,1,0,1,0.2,73,"5",9.82142857142857
"140","Kazaiah Sterling","Centre-Forward","1998-11-09T00:00:00Z",18,"England","Tottenham Hotspur","Premier League","2017/2018",2017,"Kazaiah","Sterling",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,"5",NA
"141","Simon Mignolet","Goalkeeper","1988-03-06T00:00:00Z",29,"Belgium","Liverpool FC","Premier League","2017/2018",2017,"Simon","Mignolet",0,0,67,1710,24,0,281,0,0,329,28,7,0,3,1.1,47,"1",3.91812865497076
"142","Loris Karius","Goalkeeper","1993-06-22T00:00:00Z",24,"Germany","Liverpool FC","Premier League","2017/2018",2017,"Loris","Karius",0,0,88,1710,14,0,280.6,0,5,382,27.9,10,0,1,1.9,49,"1",5.14619883040936
"143","Danny Ward","Goalkeeper","1993-06-22T00:00:00Z",24,"Wales","Liverpool FC","Premier League","2017/2018",2017,"Danny","Ward",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"1",NA
"144","Virgil van Dijk","Centre-Back","1991-07-08T00:00:00Z",25,"Netherlands","Liverpool FC","Premier League","2017/2018",2017,"Virgil","van Dijk",0,0,78,2253,28,122.6,601,277,5,481,100.2,8,0,1,7.3,57,"2",3.46205059920106
"145","Joel Matip","Centre-Back","1991-08-08T00:00:00Z",25,"Cameroon","Liverpool FC","Premier League","2017/2018",2017,"Joel","Matip",1,0,81,1995,27,96.1,544.8,140,3,470,78.1,9,0,3,1.7,54,"2",4.06015037593985
"146","Dejan Lovren","Centre-Back","1989-07-05T00:00:00Z",27,"Croatia","Liverpool FC","Premier League","2017/2018",2017,"Dejan","Lovren",2,1,110,2124,24,104.5,656.4,242,10,539,100.2,11,0,4,1.5,53,"2",5.1789077212806
"147","Ragnar Klavan","Centre-Back","1985-10-30T00:00:00Z",31,"Estonia","Liverpool FC","Premier League","2017/2018",2017,"Ragnar","Klavan",1,0,78,1449,15,65,357.2,43,9,384,46.6,8,0,0,1.8,41,"2",5.38302277432712
"148","Conor Masterson","Centre-Back","1998-09-08T00:00:00Z",18,"Ireland","Liverpool FC","Premier League","2017/2018",2017,"Conor","Masterson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"2",NA
"149","Alberto Moreno","Left-Back","1992-07-05T00:00:00Z",24,"Spain","Liverpool FC","Premier League","2017/2018",2017,"Alberto","Moreno",0,1,52,1264,19,250.1,261.8,106,3,328,61.7,6,0,1,1.2,43,"2",4.11392405063291
"150","Andrew Robertson","Left-Back","1994-03-11T00:00:00Z",23,"Scotland","Liverpool FC","Premier League","2017/2018",2017,"Andrew","Robertson",1,5,111,1940,18,414.5,424,174,12,514,101.3,10,0,2,7.4,50,"2",5.72164948453608
"151","Nathaniel Clyne","Right-Back","1991-04-05T00:00:00Z",26,"England","Liverpool FC","Premier League","2017/2018",2017,"Nathaniel","Clyne",0,0,7,173,1,23.8,21.8,41,0,25,8.7,1,0,1,0.3,53,"2",4.04624277456647
"152","Jon Flanagan","Right-Back","1993-01-01T00:00:00Z",24,"England","Liverpool FC","Premier League","2017/2018",2017,"Jon","Flanagan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"2",NA
"153","Trent Alexander-Arnold","Right-Back","1998-10-07T00:00:00Z",18,"England","Liverpool FC","Premier League","2017/2018",2017,"Trent","Alexander-Arnold",1,2,83,1573,17,399.2,358.2,142,10,385,90.1,8,0,3,5.5,44,"2",5.276541640178
"154","Emre Can","Defensive Midfield","1994-01-12T00:00:00Z",23,"Germany","Liverpool FC","Premier League","2017/2018",2017,"Emre","Can",3,6,92,2089,29,426.4,546.4,231,10,499,120.6,8,0,8,4,49,"3",4.40402106270943
"155","Georginio Wijnaldum","Central Midfield","1990-11-11T00:00:00Z",26,"Netherlands","Liverpool FC","Premier League","2017/2018",2017,"Georginio","Wijnaldum",1,2,85,2381,23,356.2,341.8,399,1,406,109.9,15,0,1,2.2,66,"3",3.56992860142797
"156","Jordan Henderson","Central Midfield","1990-06-17T00:00:00Z",27,"England","Liverpool FC","Premier League","2017/2018",2017,"Jordan","Henderson",1,1,75,2169,21,448.8,417,110,3,382,97.8,14,0,1,1.2,53,"3",3.45781466113416
"157","Alex Oxlade-Chamberlain","Central Midfield","1993-08-15T00:00:00Z",23,"England","Liverpool FC","Premier League","2017/2018",2017,"Alex","Oxlade-Chamberlain",3,7,94,1718,28,625.1,548,494,5,423,166.5,5,0,3,2.2,55,"3",5.47147846332945
"158","James Milner","Central Midfield","1986-01-04T00:00:00Z",31,"England","Liverpool FC","Premier League","2017/2018",2017,"James","Milner",0,3,77,1759,25,615.5,437.2,272,4,459,132.5,6,0,3,2.5,60,"3",4.37748720864127
"159","Marko Grujic","Central Midfield","1996-04-13T00:00:00Z",21,"Serbia","Liverpool FC","Premier League","2017/2018",2017,"Marko","Grujic",0,0,3,14,0,11.7,7.4,0,0,9,1.9,0,0,0,0.4,42,"3",21.4285714285714
"160","Curtis Jones","Central Midfield","2001-01-30T00:00:00Z",16,"England","Liverpool FC","Premier League","2017/2018",2017,"Curtis","Jones",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,"3",NA
"161","Adam Lallana","Attacking Midfield","1988-05-10T00:00:00Z",29,"England","Liverpool FC","Premier League","2017/2018",2017,"Adam","Lallana",0,0,13,234,1,113.4,32.6,128,0,37,27.3,1,0,1,0.3,73,"3",5.55555555555556
"162","Philippe Coutinho","Left Winger","1992-06-12T00:00:00Z",25,"Brazil","Liverpool FC","Premier League","2017/2018",2017,"Philippe","Coutinho",7,7,103,1109,14,624.4,550.4,519,15,381,169.4,5,0,0,3,91,"4",9.28764652840397
"163","Sadio Mané","Left Winger","1992-04-10T00:00:00Z",25,"Senegal","Liverpool FC","Premier League","2017/2018",2017,"Sadio","Mané",10,8,147,2189,24,739.1,677.4,964,8,499,238,15,1,3,8.5,94,"4",6.71539515760621
"164","Ben Woodburn","Left Winger","1999-10-15T00:00:00Z",17,"Wales","Liverpool FC","Premier League","2017/2018",2017,"Ben","Woodburn",0,0,1,6,0,2.3,0.4,2,0,3,0.5,0,0,0,0.3,42,"4",16.6666666666667
"165","Mohamed Salah","Right Winger","1992-06-15T00:00:00Z",25,"Egypt","Liverpool FC","Premier League","2017/2018",2017,"Mohamed","Salah",32,12,303,2905,29,942.5,1496.2,2109,26,881,454.4,15,0,1,56.7,106,"4",10.4302925989673
"166","Roberto Firmino","Centre-Forward","1991-10-02T00:00:00Z",25,"Brazil","Liverpool FC","Premier League","2017/2018",2017,"Roberto","Firmino",15,8,181,2760,32,834.5,951,1341,29,758,312.7,16,0,1,36.1,95,"5",6.55797101449275
"167","Daniel Sturridge","Centre-Forward","1989-09-01T00:00:00Z",27,"England","Liverpool FC","Premier League","2017/2018",2017,"Daniel","Sturridge",2,1,32,541,8,205.3,136.2,304,0,131,64.5,3,0,0,0.6,79,"5",5.91497227356747
"168","Divock Origi","Centre-Forward","1995-04-18T00:00:00Z",22,"Belgium","Liverpool FC","Premier League","2017/2018",2017,"Divock","Origi",0,0,1,9,1,0,0,0,0,3,0,0,0,0,0.2,74,"5",11.1111111111111
"169","Danny Ings","Centre-Forward","1992-07-23T00:00:00Z",24,"England","Liverpool FC","Premier League","2017/2018",2017,"Danny","Ings",1,1,18,262,0,42,57.8,143,0,53,24,3,0,0,0.2,54,"5",6.87022900763359
"170","Dominic Solanke","Centre-Forward","1997-09-14T00:00:00Z",19,"England","Liverpool FC","Premier League","2017/2018",2017,"Dominic","Solanke",1,2,38,581,4,199.4,123.8,350,2,107,66.4,3,0,0,1.6,46,"5",6.54044750430293
"171","Jordan Pickford","Goalkeeper","1994-03-07T00:00:00Z",23,"England","Everton FC","Premier League","2017/2018",2017,"Jordan","Pickford",0,0,145,3420,58,30.1,873.6,4,16,724,90.7,10,0,0,8.3,49,"1",4.23976608187134
"172","Joel Robles","Goalkeeper","1990-06-17T00:00:00Z",27,"Spain","Everton FC","Premier League","2017/2018",2017,"Joel","Robles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,42,"1",NA
"173","Maarten Stekelenburg","Goalkeeper","1982-09-22T00:00:00Z",34,"Netherlands","Everton FC","Premier League","2017/2018",2017,"Maarten","Stekelenburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,42,"1",NA
"174","Michael Keane","Centre-Back","1993-01-11T00:00:00Z",24,"England","Everton FC","Premier League","2017/2018",2017,"Michael","Keane",0,1,81,2559,46,58.4,703.4,124,11,513,88.7,7,0,3,5.1,53,"2",3.16529894490035
"175","Eliaquim Mangala","Centre-Back","1991-02-13T00:00:00Z",26,"France","Everton FC","Premier League","2017/2018",2017,"Eliaquim","Mangala",0,0,22,617,7,19.9,113.8,32,0,118,16.8,2,0,0,0.1,50,"2",3.56564019448947
"176","Ramiro Funes Mori","Centre-Back","1991-03-05T00:00:00Z",26,"Argentina","Everton FC","Premier League","2017/2018",2017,"Ramiro","Funes Mori",0,0,3,119,2,0.9,29.2,6,0,14,3.6,0,0,1,0,49,"2",2.52100840336134
"177","Ashley Williams","Centre-Back","1984-08-23T00:00:00Z",32,"Wales","Everton FC","Premier League","2017/2018",2017,"Ashley","Williams",1,0,56,1830,31,39,518,132,3,332,68.9,5,1,3,2.1,52,"2",3.06010928961749
"178","Mason Holgate","Centre-Back","1996-10-22T00:00:00Z",20,"England","Everton FC","Premier League","2017/2018",2017,"Mason","Holgate",0,0,37,1183,14,93.9,285.8,105,0,214,48.5,4,0,3,1,40,"2",3.12764158918005
"179","Phil Jagielka","Centre-Back","1982-08-17T00:00:00Z",34,"England","Everton FC","Premier League","2017/2018",2017,"Phil","Jagielka",0,0,60,2063,39,24.1,529.2,108,5,415,66.2,6,0,2,2.7,47,"2",2.90838584585555
"180","Matthew Pennington","Centre-Back","1994-10-06T00:00:00Z",22,"England","Everton FC","Premier League","2017/2018",2017,"Matthew","Pennington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,"2",NA
"181","Leighton Baines","Left-Back","1984-12-11T00:00:00Z",32,"England","Everton FC","Premier League","2017/2018",2017,"Leighton","Baines",2,3,82,1909,34,373.5,407.4,102,10,381,88.2,5,0,1,4,57,"2",4.29544264012572
"182","Luke Garbutt","Left-Back","1993-05-21T00:00:00Z",24,"England","Everton FC","Premier League","2017/2018",2017,"Luke","Garbutt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"2",NA
"183","Seamus Coleman","Right-Back","1988-10-11T00:00:00Z",28,"Ireland","Everton FC","Premier League","2017/2018",2017,"Seamus","Coleman",0,1,39,1035,12,113.7,227.6,69,0,198,41.2,4,0,0,0.5,64,"2",3.76811594202899
"184","Cuco Martina","Right-Back","1989-09-25T00:00:00Z",27,"Curacao","Everton FC","Premier League","2017/2018",2017,"Cuco","Martina",0,2,55,1830,30,238.8,468.8,39,0,367,74.9,5,0,2,1.1,41,"2",3.00546448087432
"185","Jonjoe Kenny","Right-Back","1997-03-15T00:00:00Z",20,"England","Everton FC","Premier League","2017/2018",2017,"Jonjoe","Kenny",0,2,50,1589,31,184.5,362.4,47,2,309,59.5,5,0,2,2.1,39,"2",3.14663310258024
"186","Morgan Schneiderlin","Defensive Midfield","1989-11-08T00:00:00Z",27,"France","Everton FC","Premier League","2017/2018",2017,"Morgan","Schneiderlin",0,0,52,2124,38,159.2,361.2,52,1,344,57.2,6,1,4,0.5,47,"3",2.44821092278719
"187","Muhamed Besic","Defensive Midfield","1992-09-10T00:00:00Z",24,"Bosnia-Herzegovina","Everton FC","Premier League","2017/2018",2017,"Muhamed","Besic",0,0,2,46,0,11.5,18.2,0,0,10,3,0,0,0,0.1,42,"3",4.34782608695652
"188","Gareth Barry","Defensive Midfield","1981-02-23T00:00:00Z",36,"England","Everton FC","Premier League","2017/2018",2017,"Gareth","Barry",1,2,56,1921,35,274.9,347.8,195,0,287,82,4,0,4,0.8,44,"3",2.91514836022905
"189","Idrissa Gueye","Central Midfield","1989-09-26T00:00:00Z",27,"Senegal","Everton FC","Premier League","2017/2018",2017,"Idrissa","Gueye",2,2,87,2749,45,303.6,577,166,7,552,104.6,9,1,6,0.9,48,"3",3.16478719534376
"190","James McCarthy","Central Midfield","1990-11-12T00:00:00Z",26,"Ireland","Everton FC","Premier League","2017/2018",2017,"James","McCarthy",0,0,6,204,6,19.3,33.8,4,0,41,5.8,0,0,0,0,49,"3",2.94117647058824
"191","Tom Davies","Central Midfield","1998-06-30T00:00:00Z",19,"England","Everton FC","Premier League","2017/2018",2017,"Tom","Davies",2,2,66,1892,24,207.2,242.8,218,3,223,65.8,6,0,7,0.4,51,"3",3.48837209302326
"192","Beni Baningime","Central Midfield","1998-09-09T00:00:00Z",18,"DR Congo","Everton FC","Premier League","2017/2018",2017,"Beni","Baningime",0,0,7,192,2,3.8,9.4,0,0,20,1.3,0,0,1,0,45,"3",3.64583333333333
"193","Gylfi Sigurdsson","Attacking Midfield","1989-09-08T00:00:00Z",27,"Iceland","Everton FC","Premier League","2017/2018",2017,"Gylfi","Sigurdsson",4,4,96,2257,40,614.9,485.6,437,8,396,154,6,0,2,1.9,80,"3",4.25343376163048
"194","Davy Klaassen","Attacking Midfield","1993-02-21T00:00:00Z",24,"Netherlands","Everton FC","Premier League","2017/2018",2017,"Davy","Klaassen",0,0,7,248,6,33.7,23,28,0,18,8.3,0,0,0,0.4,69,"3",2.82258064516129
"195","Nikola Vlasic","Attacking Midfield","1997-10-04T00:00:00Z",19,"Croatia","Everton FC","Premier League","2017/2018",2017,"Nikola","Vlasic",0,0,18,572,12,159.1,91.8,85,0,80,33.6,1,0,0,0,53,"3",3.14685314685315
"196","Yannick Bolasie","Left Winger","1989-05-24T00:00:00Z",28,"DR Congo","Everton FC","Premier League","2017/2018",2017,"Yannick","Bolasie",1,1,35,848,14,109,98.6,204,0,80,40.8,3,0,0,0.2,64,"4",4.12735849056604
"197","Ademola Lookman","Left Winger","1997-10-20T00:00:00Z",19,"England","Everton FC","Premier League","2017/2018",2017,"Ademola","Lookman",0,1,10,153,6,20.5,12,43,0,30,7.5,0,0,0,0.1,51,"4",6.5359477124183
"198","Theo Walcott","Right Winger","1989-03-16T00:00:00Z",28,"England","Everton FC","Premier League","2017/2018",2017,"Theo","Walcott",3,3,62,1214,17,234.9,316.6,406,3,226,95.9,4,0,2,2.1,66,"4",5.10708401976936
"199","Kevin Mirallas","Right Winger","1987-10-05T00:00:00Z",29,"Belgium","Everton FC","Premier League","2017/2018",2017,"Kevin","Mirallas",0,0,5,135,8,20.2,16.4,42,0,19,7.9,0,0,1,0.8,60,"4",3.7037037037037
"200","Aaron Lennon","Right Winger","1987-04-16T00:00:00Z",30,"England","Everton FC","Premier League","2017/2018",2017,"Aaron","Lennon",0,4,65,1906,30,203.2,232.2,297,0,204,73.3,6,0,2,0.2,54,"4",3.4102833158447
"201","Wayne Rooney","Centre-Forward","1985-10-24T00:00:00Z",31,"England","Everton FC","Premier League","2017/2018",2017,"Wayne","Rooney",10,3,113,2265,33,573.7,585,467,20,480,162.4,7,0,5,9.3,71,"5",4.98896247240618
"202","Sandro Ramírez","Centre-Forward","1995-07-09T00:00:00Z",21,"Spain","Everton FC","Premier League","2017/2018",2017,"Sandro","Ramírez",0,0,10,275,7,28.3,8.8,67,0,21,9.8,1,0,0,0.4,70,"5",3.63636363636364
"203","Cenk Tosun","Centre-Forward","1991-06-07T00:00:00Z",26,"Turkey","Everton FC","Premier League","2017/2018",2017,"Cenk","Tosun",5,0,55,984,13,226.4,232.4,304,9,192,75.6,4,0,0,2.1,67,"5",5.58943089430894
"204","Oumar Niasse","Centre-Forward","1990-04-18T00:00:00Z",27,"Senegal","Everton FC","Premier League","2017/2018",2017,"Oumar","Niasse",8,3,83,1076,23,159.2,370.6,634,14,248,115.2,0,0,2,5,46,"5",7.71375464684015
"205","Dominic Calvert-Lewin","Centre-Forward","1997-03-16T00:00:00Z",20,"England","Everton FC","Premier League","2017/2018",2017,"Dominic","Calvert-Lewin",4,8,88,1871,28,322.6,354,630,3,255,130.2,6,0,4,3.5,49,"5",4.70336718332443
"206","Joe Hart","Goalkeeper","1987-04-19T00:00:00Z",30,"England","West Ham United","Premier League","2017/2018",2017,"Joe","Hart",0,1,59,1710,39,20,382.8,0,3,341,40.2,4,0,0,5.7,42,"1",3.45029239766082
"207","Adrián San Miguel del Castillo","Goalkeeper","1987-01-03T00:00:00Z",30,"Spain","West Ham United","Premier League","2017/2018",2017,"Adrián","San Miguel del Castillo",0,0,72,1710,29,0,470.4,0,5,374,47,6,0,2,2.4,40,"1",4.21052631578947
"208","Nathan Trott","Goalkeeper","1998-11-21T00:00:00Z",18,"England","West Ham United","Premier League","2017/2018",2017,"Nathan","Trott",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,40,"1",NA
"209","Winston Reid","Centre-Back","1988-07-03T00:00:00Z",28,"New Zealand","West Ham United","Premier League","2017/2018",2017,"Winston","Reid",0,0,42,1452,27,48.8,322.4,64,3,264,43.6,5,0,5,0.6,48,"2",2.89256198347107
"210","Angelo Ogbonna","Centre-Back","1988-05-23T00:00:00Z",29,"Italy","West Ham United","Premier League","2017/2018",2017,"Angelo","Ogbonna",1,0,77,2880,60,81.4,687.8,145,4,520,91.4,7,0,3,3.4,42,"2",2.67361111111111
"211","Reece Oxford","Centre-Back","1998-12-16T00:00:00Z",18,"England","West Ham United","Premier League","2017/2018",2017,"Reece","Oxford",0,0,1,4,0,0,3,0,0,2,0.3,0,0,0,0,45,"2",25
"212","James Collins","Centre-Back","1983-08-23T00:00:00Z",33,"Wales","West Ham United","Premier League","2017/2018",2017,"James","Collins",1,0,36,1049,19,25.5,346,76,3,200,44.6,3,0,3,0.2,43,"2",3.43183984747378
"213","Reece Burke","Centre-Back","1996-09-02T00:00:00Z",20,"England","West Ham United","Premier League","2017/2018",2017,"Reece","Burke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"2",NA
"214","Josh Pask","Centre-Back","1997-11-01T00:00:00Z",19,"England","West Ham United","Premier League","2017/2018",2017,"Josh","Pask",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"2",NA
"215","Aaron Cresswell","Left-Back","1989-12-15T00:00:00Z",27,"England","West Ham United","Premier League","2017/2018",2017,"Aaron","Cresswell",1,7,118,3069,60,562.7,690.2,193,10,613,145,10,0,7,3.2,49,"2",3.84490061909417
"216","Arthur Masuaku","Left-Back","1993-11-07T00:00:00Z",23,"DR Congo","West Ham United","Premier League","2017/2018",2017,"Arthur","Masuaku",0,3,68,1867,29,295.1,385,128,2,352,80.7,6,0,5,1.2,42,"2",3.64220674879486
"217","Patrice Evra","Left-Back","1981-05-15T00:00:00Z",36,"France","West Ham United","Premier League","2017/2018",2017,"Patrice","Evra",0,0,2,227,10,6,42.8,0,0,32,5,0,0,0,0.2,41,"2",0.881057268722467
"218","Pablo Zabaleta","Right-Back","1985-01-16T00:00:00Z",32,"Argentina","West Ham United","Premier League","2017/2018",2017,"Pablo","Zabaleta",0,1,90,3289,62,293.7,635,77,6,563,100.7,10,0,9,1.9,49,"2",2.73639404074187
"219","Sam Byram","Right-Back","1993-09-16T00:00:00Z",23,"England","West Ham United","Premier League","2017/2018",2017,"Sam","Byram",0,0,5,246,7,37.6,71,36,0,41,14.5,0,0,1,0.1,42,"2",2.03252032520325
"220","Ben Johnson","Right-Back","2000-01-24T00:00:00Z",17,"England","West Ham United","Premier League","2017/2018",2017,"Ben","Johnson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"2",NA
"221","Cheikhou Kouyaté","Defensive Midfield","1989-12-21T00:00:00Z",27,"Senegal","West Ham United","Premier League","2017/2018",2017,"Cheikhou","Kouyaté",2,3,86,2798,56,262.4,480,320,2,367,106.1,7,0,5,0.3,50,"3",3.07362401715511
"222","Declan Rice","Defensive Midfield","1999-01-14T00:00:00Z",18,"England","West Ham United","Premier League","2017/2018",2017,"Declan","Rice",0,0,41,1421,29,35.7,310.4,29,0,280,37.5,3,0,1,0.1,44,"3",2.88529204785362
"223","Pedro Obiang","Central Midfield","1992-03-27T00:00:00Z",25,"Equatorial Guinea","West Ham United","Premier League","2017/2018",2017,"Pedro","Obiang",2,0,54,1562,29,132.1,377.8,88,6,270,60.1,5,0,3,0.7,42,"3",3.45710627400768
